,Event Type,Event Created,Object Id,Id,IsDeleted,AccountId,IsPrivate,Name,Description,StageName,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,FiscalQuarter,FiscalYear,Fiscal,LastViewedDate,LastReferencedDate,SyncedQuoteId,ContractId,HasOpenActivity,HasOverdueTask,Bonus_Points_Used__c,Bonus_Points__c,DocumentLink_Record_Type__c,DocumentLink_Subject__c,DocumentLink__c,Online_Quote_URL__c,Quote_Status__c,Rollover_Points_Used__c,Tasks_Purchased_All_Orders__c,ID_SF_Migration_Opportunity__c,Points_Estimate__c,Contact__c,SBQQ__AmendedContract__c,Current_Point_Balance__c,Opportunity_ID__c,Project_Opportunity__c,Add_Contingency__c,Opportunity_Lookup__c,Points_assigned_to_Projects__c,Billing_Contact__c,Billing_Date__c,Contingency_Points__c,Contingency_Received__c,Delegated_Points_Received__c,Delegated_Points__c,Freeze_Period__c,Notes_for_Delegated_Points_Received__c,Notes_for_Delegated_Points__c,Percentage_Formula__c,Points_Logged__c,Points_Plan__c,Points_Purchased__c,Rollover_Points__c,SBQQ__Contracted__c,Two_Week__c,Un_Freeze_Date__c,Unassigned_Project_Points__c,SBQQ__CreateContractedPrices__c,SBQQ__OrderGroupID__c,SBQQ__Ordered__c,SBQQ__PrimaryQuote__c,SBQQ__QuotePricebookId__c,SBQQ__Renewal__c,SBQQ__RenewedContract__c,attributes.type,attributes.url,date,_id
10,created,2022-04-15T19:09:11.840Z,0068Z00001WCUKpQAP,0068Z00001WCUKpQAP,False,0011U00001hLiWBQA0,False,EMILY's GOOD NEWS,,Proposal/Price Quote,,75.0,,,2022-04-15,,,,False,False,Pipeline,Pipeline,,False,,0051U000004IhG0QAK,2022-04-15T19:09:11.000+0000,0051U000004IhG0QAK,2022-04-15T19:09:11.000+0000,0051U000004IhG0QAK,2022-04-15T19:09:11.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCUKp,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCUKpQAP,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,0.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCUKpQAP,1650049753190.0,62e84ff10b93022bfa43cc49
11,updated,2022-04-15T19:09:51.763Z,0068Z00001WCUKpQAP,0068Z00001WCUKpQAP,False,0011U00001hLiWBQA0,False,EMILY's GOOD NEWS,,Proposal/Price Quote,547.0,75.0,410.25,3.0,2022-04-15,,,,False,False,Pipeline,Pipeline,,True,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-15T19:09:11.000+0000,0051U000004IhG0QAK,2022-04-15T19:09:51.000+0000,0051U000004IhG0QAK,2022-04-15T19:09:51.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCUKp,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCUKpQAP,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,0.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCUKpQAP,1650049792636.0,62e84ff10b93022bfa43cc4a
12,updated,2022-04-19T21:39:56.521Z,0061U0000067mNUQAY,0061U0000067mNUQAY,False,0011U00000MkD6iQAF,False,Test Opportunity,ddasdsdasd,Needs Analysis,5000.0,80.0,4000.0,,2019-04-30,Existing Business,call,Employee Referral,False,False,Pipeline,Pipeline,,False,,0051U000000i0GWQAY,2019-04-09T18:01:10.000+0000,0051U000000i0GWQAY,2022-04-19T21:39:56.000+0000,0051U000009NJ9YQAW,2022-04-19T21:39:56.000+0000,,2.0,2019.0,2019 2,2022-04-19T21:39:55.000+0000,2022-04-19T21:39:55.000+0000,,,False,False,33.0,55.0,Quote,testing,fdsfdsffs,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0061U0000067mNU,Presented,33.0,0.0,,100.0,0038Z00002ocVVbQAM,,55.0,0061U0000067mNUQAY,True,True,0061U000006500IQAQ,,,2022-08-02,,,,,,,,166.67,,,33.0,,False,1085.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0061U0000067mNUQAY,1650404397329.0,62e84ff10b93022bfa43cc4b
13,updated,2022-04-19T21:39:56.521Z,0061U0000067mNUQAY,0061U0000067mNUQAY,False,0011U00000MkD6iQAF,False,Test Opportunity,ddasdsdasd,Needs Analysis,5000.0,80.0,4000.0,,2019-04-30,Existing Business,call,Employee Referral,False,False,Pipeline,Pipeline,,False,,0051U000000i0GWQAY,2019-04-09T18:01:10.000+0000,0051U000000i0GWQAY,2022-04-19T21:39:56.000+0000,0051U000009NJ9YQAW,2022-04-19T21:39:56.000+0000,,2.0,2019.0,2019 2,2022-04-19T21:39:55.000+0000,2022-04-19T21:39:55.000+0000,,,False,False,33.0,55.0,Quote,testing,fdsfdsffs,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0061U0000067mNU,Presented,33.0,0.0,,100.0,0038Z00002ocVVbQAM,,55.0,0061U0000067mNUQAY,True,True,0061U000006500IQAQ,,,2022-08-02,,,,,,,,166.67,,,33.0,,False,1085.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0061U0000067mNUQAY,1650404401239.0,62e84ff10b93022bfa43cc4c
14,updated,2022-04-13T00:23:27.416Z,0068Z00001WCDkWQAX,0068Z00001WCDkWQAX,False,0018Z00002XBjt7QAD,False,Initial Services/Scholarship & Foundational Business Package,,Negotiation/Review,2500.0,90.0,2250.0,2.0,2022-04-19,,,,False,False,Pipeline,Pipeline,,True,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-05T19:56:17.000+0000,0051U000004IhG0QAK,2022-04-13T00:23:27.000+0000,0051U000004IhG0QAK,2022-04-13T00:23:27.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCDkW,Presented,,0.0,,,0038Z00002ocBn0QAE,,,0068Z00001WCDkWQAX,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-7.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCDkWQAX,1649809408178.0,62e84ff10b93022bfa43cc42
15,updated,2022-04-13T00:26:48.353Z,0068Z00001WCDkWQAX,0068Z00001WCDkWQAX,False,0018Z00002XBjt7QAD,False,Initial Services/Scholarship & Foundational Business Package,,Closed Won,2500.0,100.0,2500.0,2.0,2022-04-12,,,,True,True,Closed,Closed,,True,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-05T19:56:17.000+0000,0051U000004IhG0QAK,2022-04-13T00:26:48.000+0000,0051U000006prvDQAQ,2022-04-13T00:26:48.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCDkW,Presented,,0.0,,,0038Z00002ocBn0QAE,,,0068Z00001WCDkWQAX,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,0.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCDkWQAX,1649809609558.0,62e84ff10b93022bfa43cc43
16,updated,2022-04-20T15:26:45.082Z,0061U0000067mNUQAY,0061U0000067mNUQAY,False,0011U00000MkD6iQAF,False,Test Opportunity,ddasdsdasd,Needs Analysis,5000.0,80.0,4000.0,,2019-04-30,Existing Business,call,Employee Referral,False,False,Pipeline,Pipeline,,False,,0051U000000i0GWQAY,2019-04-09T18:01:10.000+0000,0051U000000i0GWQAY,2022-04-20T15:26:44.000+0000,0051U000009NJ9YQAW,2022-04-20T15:26:44.000+0000,,2.0,2019.0,2019 2,2022-04-20T15:26:43.000+0000,2022-04-20T15:26:43.000+0000,,,False,False,33.0,55.0,Quote,testing,fdsfdsffs,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0061U0000067mNU,Presented,33.0,0.0,,100.0,0038Z00002ocVVbQAM,,55.0,0061U0000067mNUQAY,True,False,0061U000006500IQAQ,,,2022-08-02,,,,,,,,177.42,,,31.0,,False,1086.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0061U0000067mNUQAY,1650468407079.0,62e84ff10b93022bfa43cc4f
17,created,2022-04-20T19:42:46.243Z,0068Z00001WCjahQAD,0068Z00001WCjahQAD,False,0011U00001hLiWBQA0,False,TRAINING,,Proposal/Price Quote,2897.0,75.0,2172.75,,2022-05-04,,,,False,False,Pipeline,Pipeline,,False,,0051U000004IhG0QAK,2022-04-20T19:42:45.000+0000,0051U000004IhG0QAK,2022-04-20T19:42:45.000+0000,0051U000004IhG0QAK,2022-04-20T19:42:45.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCjah,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCjahQAD,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-14.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCjahQAD,1650483767127.0,62e84ff10b93022bfa43cc50
18,updated,2022-04-20T19:42:55.105Z,0068Z00001WCjahQAD,0068Z00001WCjahQAD,False,0011U00001hLiWBQA0,False,TRAINING,,Proposal/Price Quote,2897.0,75.0,2172.75,,2022-05-04,,,,False,False,Pipeline,Pipeline,,False,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-20T19:42:45.000+0000,0051U000004IhG0QAK,2022-04-20T19:42:54.000+0000,0051U000004IhG0QAK,2022-04-20T19:42:54.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCjah,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCjahQAD,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-14.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCjahQAD,1650483775761.0,62e84ff10b93022bfa43cc51
19,updated,2022-04-20T19:43:20.668Z,0068Z00001WCjahQAD,0068Z00001WCjahQAD,False,0011U00001hLiWBQA0,False,TRAINING,,Proposal/Price Quote,2897.0,75.0,2172.75,2.0,2022-05-04,,,,False,False,Pipeline,Pipeline,,True,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-20T19:42:45.000+0000,0051U000004IhG0QAK,2022-04-20T19:43:20.000+0000,0051U000004IhG0QAK,2022-04-20T19:43:20.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCjah,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCjahQAD,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-14.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCjahQAD,1650483802245.0,62e84ff10b93022bfa43cc52
20,created,2022-04-21T19:04:15.544Z,0068Z00001WCncQQAT,0068Z00001WCncQQAT,False,0018Z00002YcqQwQAJ,False,EyeCandy Brow Salon Initial Quote,,Proposal/Price Quote,,75.0,,,2022-06-30,,,SS Landing Page,False,False,Pipeline,Pipeline,,False,,0051U000000i0GWQAY,2022-04-21T19:04:14.000+0000,0051U000006muD2QAI,2022-04-21T19:04:15.000+0000,0051U000006muD2QAI,2022-04-21T19:04:16.000+0000,2022-04-14,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCncQ,Presented,,0.0,,,,,,0068Z00001WCncQQAT,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-70.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCncQQAT,1650567858323.0,62e84ff10b93022bfa43cc53
21,updated,2022-04-21T19:05:14.510Z,0068Z00001WCncQQAT,0068Z00001WCncQQAT,False,0018Z00002YcqQwQAJ,False,EyeCandy Brow Salon Initial Quote,,Proposal/Price Quote,,75.0,,,2022-06-30,,,SS Landing Page,False,False,Pipeline,Pipeline,,False,01s1U000000ZwxwQAC,0051U000000i0GWQAY,2022-04-21T19:04:14.000+0000,0051U000006muD2QAI,2022-04-21T19:05:14.000+0000,0051U000006muD2QAI,2022-04-21T19:05:14.000+0000,2022-04-14,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCncQ,Presented,,0.0,,,,,,0068Z00001WCncQQAT,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-70.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCncQQAT,1650567915708.0,62e84ff10b93022bfa43cc54
22,updated,2022-04-21T19:06:18.343Z,0068Z00001WCncQQAT,0068Z00001WCncQQAT,False,0018Z00002YcqQwQAJ,False,EyeCandy Brow Salon Initial Quote,,Proposal/Price Quote,2897.0,75.0,2172.75,2.0,2022-06-30,,,SS Landing Page,False,False,Pipeline,Pipeline,,True,01s1U000000ZwxwQAC,0051U000000i0GWQAY,2022-04-21T19:04:14.000+0000,0051U000006muD2QAI,2022-04-21T19:06:18.000+0000,0051U000006muD2QAI,2022-04-21T19:06:18.000+0000,2022-04-14,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCncQ,Presented,,0.0,,,,,,0068Z00001WCncQQAT,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-70.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCncQQAT,1650567979580.0,62e84ff10b93022bfa43cc55
23,updated,2022-04-21T19:06:18.340Z,0068Z00001WCncQQAT,0068Z00001WCncQQAT,False,0018Z00002YcqQwQAJ,False,EyeCandy Brow Salon Initial Quote,,Proposal/Price Quote,2897.0,75.0,2172.75,2.0,2022-06-30,,,SS Landing Page,False,False,Pipeline,Pipeline,,True,01s1U000000ZwxwQAC,0051U000000i0GWQAY,2022-04-21T19:04:14.000+0000,0051U000006muD2QAI,2022-04-21T19:06:18.000+0000,0051U000006muD2QAI,2022-04-21T19:06:18.000+0000,2022-04-14,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCncQ,Presented,,0.0,,,,,,0068Z00001WCncQQAT,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-70.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCncQQAT,1650567980119.0,62e84ff10b93022bfa43cc56
24,created,2022-04-21T21:40:13.475Z,0068Z00001WCoEcQAL,0068Z00001WCoEcQAL,False,0018Z00002YcqwjQAB,False,Aziza Scientific Initial Services,,Proposal/Price Quote,,75.0,,,2022-06-30,,,SS Landing Page,False,False,Pipeline,Pipeline,,False,,0051U000000i0GWQAY,2022-04-21T21:40:12.000+0000,0051U000007LKs0QAG,2022-04-21T21:40:13.000+0000,0051U000007LKs0QAG,2022-04-21T21:40:14.000+0000,2022-04-16,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCoEc,Presented,,0.0,,,,,,0068Z00001WCoEcQAL,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-70.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCoEcQAL,1650577216054.0,62e84ff10b93022bfa43cc57
