,Event Type,Event Created,Object Id,Id,IsDeleted,AccountId,IsPrivate,Name,Description,StageName,Amount,Probability,ExpectedRevenue,TotalOpportunityQuantity,CloseDate,Type,NextStep,LeadSource,IsClosed,IsWon,ForecastCategory,ForecastCategoryName,CampaignId,HasOpportunityLineItem,Pricebook2Id,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,FiscalQuarter,FiscalYear,Fiscal,LastViewedDate,LastReferencedDate,SyncedQuoteId,ContractId,HasOpenActivity,HasOverdueTask,Bonus_Points_Used__c,Bonus_Points__c,DocumentLink_Record_Type__c,DocumentLink_Subject__c,DocumentLink__c,Online_Quote_URL__c,Quote_Status__c,Rollover_Points_Used__c,Tasks_Purchased_All_Orders__c,ID_SF_Migration_Opportunity__c,Points_Estimate__c,Contact__c,SBQQ__AmendedContract__c,Current_Point_Balance__c,Opportunity_ID__c,Project_Opportunity__c,Add_Contingency__c,Opportunity_Lookup__c,Points_assigned_to_Projects__c,Billing_Contact__c,Billing_Date__c,Contingency_Points__c,Contingency_Received__c,Delegated_Points_Received__c,Delegated_Points__c,Freeze_Period__c,Notes_for_Delegated_Points_Received__c,Notes_for_Delegated_Points__c,Percentage_Formula__c,Points_Logged__c,Points_Plan__c,Points_Purchased__c,Rollover_Points__c,SBQQ__Contracted__c,Two_Week__c,Un_Freeze_Date__c,Unassigned_Project_Points__c,SBQQ__CreateContractedPrices__c,SBQQ__OrderGroupID__c,SBQQ__Ordered__c,SBQQ__PrimaryQuote__c,SBQQ__QuotePricebookId__c,SBQQ__Renewal__c,SBQQ__RenewedContract__c,attributes.type,attributes.url,date,_id
0,updated,2022-04-12T23:05:57.197Z,0068Z00001WCPhLQAX,0068Z00001WCPhLQAX,False,0011U00001hLiWBQA0,False,Emily's DEMO 04-12-22,,Proposal/Price Quote,245.0,75.0,183.75,1.0,2022-04-26,,,,False,False,Pipeline,Pipeline,,True,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-12T23:05:12.000+0000,0051U000004IhG0QAK,2022-04-12T23:05:57.000+0000,0051U000004IhG0QAK,2022-04-12T23:05:57.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCPhL,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCPhLQAX,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-14.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCPhLQAX,1649804758683.0,62e84ff10b93022bfa43cc3f
1,updated,2022-04-12T23:09:36.416Z,0068Z00001WCPhLQAX,0068Z00001WCPhLQAX,False,0011U00001hLiWBQA0,False,Emily's DEMO 04-12-22,,Proposal/Price Quote,547.0,75.0,410.25,3.0,2022-04-26,,,,False,False,Pipeline,Pipeline,,True,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-12T23:05:12.000+0000,0051U000004IhG0QAK,2022-04-12T23:09:36.000+0000,0051U000004IhG0QAK,2022-04-12T23:09:36.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCPhL,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCPhLQAX,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-14.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCPhLQAX,1649804977572.0,62e84ff10b93022bfa43cc40
2,updated,2022-04-12T23:20:41.956Z,0068Z00001WCPhLQAX,0068Z00001WCPhLQAX,False,0011U00001hLiWBQA0,False,Emily's DEMO 04-12-22,,Closed Won,547.0,100.0,547.0,3.0,2022-04-12,,,,True,True,Closed,Closed,,True,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-12T23:05:12.000+0000,0051U000004IhG0QAK,2022-04-12T23:20:41.000+0000,0051U000004IhG0QAK,2022-04-12T23:20:41.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCPhL,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCPhLQAX,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,0.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCPhLQAX,1649805642877.0,62e84ff10b93022bfa43cc41
3,created,2022-04-12T23:05:13.549Z,0068Z00001WCPhLQAX,0068Z00001WCPhLQAX,False,0011U00001hLiWBQA0,False,Emily's DEMO 04-12-22,,Proposal/Price Quote,,75.0,,,2022-04-26,,,,False,False,Pipeline,Pipeline,,False,,0051U000004IhG0QAK,2022-04-12T23:05:12.000+0000,0051U000004IhG0QAK,2022-04-12T23:05:12.000+0000,0051U000004IhG0QAK,2022-04-12T23:05:12.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCPhL,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCPhLQAX,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-14.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCPhLQAX,1649804714391.0,62e84ff10b93022bfa43cc3e
4,updated,2022-04-12T20:07:42.727Z,0068Z00001WCIgmQAH,0068Z00001WCIgmQAH,False,0018Z00002XA6nCQAT,False,B2B Sales Video Calls & Followup Plan Package,,Closed Won,4518.0,100.0,4518.0,,2022-04-12,,,,True,True,Closed,Closed,,False,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-07T23:39:14.000+0000,0051U000004IhG0QAK,2022-04-12T20:07:42.000+0000,0051U000004IhG0QAK,2022-04-12T20:07:42.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCIgm,Presented,,0.0,,,0038Z00002obYIXQA2,,,0068Z00001WCIgmQAH,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,0.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCIgmQAH,1649794064235.0,62e84ff10b93022bfa43cc3d
5,created,2022-04-14T19:15:22.598Z,0068Z00001WCScEQAX,0068Z00001WCScEQAX,False,0011U00001v6Gy7QAE,False,Patent State Configuration Tech Services 04-14-22,,Proposal/Price Quote,,75.0,,,2022-04-28,,,,False,False,Pipeline,Pipeline,,False,,0051U000004IhG0QAK,2022-04-14T19:15:21.000+0000,0051U000004IhG0QAK,2022-04-14T19:15:21.000+0000,0051U000004IhG0QAK,2022-04-14T19:15:21.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCScE,Presented,,0.0,,,0031U000021JoFdQAK,,,0068Z00001WCScEQAX,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-14.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCScEQAX,1649963723688.0,62e84ff10b93022bfa43cc44
6,updated,2022-04-14T19:16:12.278Z,0068Z00001WCScEQAX,0068Z00001WCScEQAX,False,0011U00001v6Gy7QAE,False,Patent State Configuration Tech Services 04-14-22,,Proposal/Price Quote,200.0,75.0,150.0,2.5,2022-04-28,,,,False,False,Pipeline,Pipeline,,True,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-14T19:15:21.000+0000,0051U000004IhG0QAK,2022-04-14T19:16:12.000+0000,0051U000004IhG0QAK,2022-04-14T19:16:12.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCScE,Presented,,0.0,,,0031U000021JoFdQAK,,,0068Z00001WCScEQAX,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-14.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCScEQAX,1649963773272.0,62e84ff10b93022bfa43cc45
7,created,2022-04-14T22:16:52.304Z,0068Z00001WCSzDQAX,0068Z00001WCSzDQAX,False,0011U00001hLiWBQA0,False,Emily's TESTING 4-14-22,,Proposal/Price Quote,,75.0,,,2022-04-28,,,,False,False,Pipeline,Pipeline,,False,,0051U000004IhG0QAK,2022-04-14T22:16:52.000+0000,0051U000004IhG0QAK,2022-04-14T22:16:52.000+0000,0051U000004IhG0QAK,2022-04-14T22:16:52.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCSzD,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCSzDQAX,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-14.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCSzDQAX,1649974613301.0,62e84ff10b93022bfa43cc46
8,updated,2022-04-14T22:17:46.496Z,0068Z00001WCSzDQAX,0068Z00001WCSzDQAX,False,0011U00001hLiWBQA0,False,Emily's TESTING 4-14-22,,Proposal/Price Quote,642.0,75.0,481.5,2.0,2022-04-28,,,,False,False,Pipeline,Pipeline,,True,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-14T22:16:52.000+0000,0051U000004IhG0QAK,2022-04-14T22:17:46.000+0000,0051U000004IhG0QAK,2022-04-14T22:17:46.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCSzD,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCSzDQAX,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-14.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCSzDQAX,1649974667887.0,62e84ff10b93022bfa43cc47
9,updated,2022-04-14T22:21:46.256Z,0068Z00001WCSzDQAX,0068Z00001WCSzDQAX,False,0011U00001hLiWBQA0,False,Emily's TESTING 4-14-22,,Proposal/Price Quote,944.0,75.0,708.0,4.0,2022-04-28,,,,False,False,Pipeline,Pipeline,,True,01s1U000000ZwxwQAC,0051U000004IhG0QAK,2022-04-14T22:16:52.000+0000,0051U000004IhG0QAK,2022-04-14T22:21:46.000+0000,0051U000004IhG0QAK,2022-04-14T22:21:46.000+0000,,2.0,2022.0,2022 2,,,,,False,False,,,Quote,,,https://theadmincenter.secure.force.com/pmtx/pymt__SiteQuote?id=0068Z00001WCSzD,Presented,,0.0,,,0031U00001wouRrQAI,,,0068Z00001WCSzDQAX,True,False,,,,,0.0,0.0,,,,,,,0.0,,,,False,-14.0,,0.0,False,,False,,,False,,Opportunity,/services/data/v42.0/sobjects/Opportunity/0068Z00001WCSzDQAX,1649974907839.0,62e84ff10b93022bfa43cc48
